name,price,processor_type,graphics_card,motherboard_chipset
ASUS ROG Strix G15DK-R5800X2190 - 1TB M.2 PCIe,6990.0,"7 5800X (3.8GHz, 4.7GHz Turbo, 32MB Cache, 105W)",GeForce RTX 3070,AMD B550
ASUS ROG Strix G15DK-R5800X339W - 1TB M.2 PCIe | 32GB,6690.0,"7 5800X (3.8GHz, 4.7GHz Turbo, 32MB Cache, 105W)",Geforce RTX 3060,AMD B550
Komputronik Infinity X711 [C2],7990.0,"i7-11700KF (3.6 GHz, 5.0 GHz Turbo, 16MB Cache, 125W)",Geforce RTX 3060,Intel Z590  (Asus TUF Z590-PLUS WiFi)
ASUS ROG Strix G15DK-R5800X340W - 1TB M.2 PCIe,7490.0,"7 5800X (3.8GHz, 4.7GHz Turbo, 32MB Cache, 105W)",GeForce RTX 3070,AMD B550
ASUS ROG Strix G15DK-R5800X340W - 1TB M.2 PCIe | 32GB,7790.0,"7 5800X (3.8GHz, 4.7GHz Turbo, 32MB Cache, 105W)",GeForce RTX 3070,AMD B550
Komputronik Infinity X512 [E6],7190.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",Geforce RTX 3060,Intel B660  (ASUS PRIME B660M-A WIFI D4)
MSI MAG Codex 5 11TC-460EU,5299.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",Geforce RTX 3060,
Komputronik Infinity HC512 [A03],9090.0,"i5-12600K (3.7 GHz, 4.9 GHz Turbo, 20MB Cache, 125W)",GeForce RTX 3060 Ti,Intel Z690  (ASUS Prime Z690-P Wifi D4)
Lenovo IdeaCentre Gaming 5-14ACN6 (90RW002WPB) - 1TB M.2 PCIe + 1TB HDD | Windows 11 Home,5590.0,"5 5600G (3.9GHz, 4.4GHz Turbo, 16MB Cache, 65W)",Geforce RTX 3060,
Lenovo IdeaCentre Gaming 5-14ACN6 (90RW002WPB) - 1TB M.2 PCIe + 1TB HDD | 32GB,5390.0,"5 5600G (3.9GHz, 4.4GHz Turbo, 16MB Cache, 65W)",Geforce RTX 3060,
Lenovo IdeaCentre Gaming 5-14ACN6 (90RW002WPB) - 512GB M.2 PCIe | 32GB | Windows 11 Home,5590.0,"5 5600G (3.9GHz, 4.4GHz Turbo, 16MB Cache, 65W)",Geforce RTX 3060,
Lenovo IdeaCentre Gaming 5-14ACN6 (90RW002WPB) - 1TB M.2 PCIe + 1TB HDD,5090.0,"5 5600G (3.9GHz, 4.4GHz Turbo, 16MB Cache, 65W)",Geforce RTX 3060,
ASUS ROG Strix G15DK-R5800X2190 - 512GB M.2 PCIe | 24GB,6890.0,"7 5800X (3.8GHz, 4.7GHz Turbo, 32MB Cache, 105W)",GeForce RTX 3070,AMD B550
Lenovo IdeaCentre Gaming 5-14ACN6 (90RW002WPB) - 1TB M.2 PCIe + 1TB HDD | 32GB | Windows 11 Home,5990.0,"5 5600G (3.9GHz, 4.4GHz Turbo, 16MB Cache, 65W)",Geforce RTX 3060,
Lenovo IdeaCentre Gaming 5-14ACN6 (90RW002WPB) - 1TB M.2 PCIe | 32GB | Windows 11 Home,5790.0,"5 5600G (3.9GHz, 4.4GHz Turbo, 16MB Cache, 65W)",Geforce RTX 3060,
ASUS ROG Strix G15DK-R5800X339W - 512GB M.2 PCIe | 32GB,6490.0,"7 5800X (3.8GHz, 4.7GHz Turbo, 32MB Cache, 105W)",Geforce RTX 3060,AMD B550
ASUS ROG Strix G15DK-R5800X340W - 512GB M.2 PCIe | 24GB,7390.0,"7 5800X (3.8GHz, 4.7GHz Turbo, 32MB Cache, 105W)",GeForce RTX 3070,AMD B550
Lenovo IdeaCentre Gaming 5-14ACN6 (90RW002WPB) - 512GB M.2 PCIe + 1TB HDD | 32GB,5190.0,"5 5600G (3.9GHz, 4.4GHz Turbo, 16MB Cache, 65W)",Geforce RTX 3060,
Lenovo IdeaCentre Gaming 5-14ACN6 (90RW002WPB) - 512GB M.2 PCIe + 1TB HDD,4849.0,"5 5600G (3.9GHz, 4.4GHz Turbo, 16MB Cache, 65W)",Geforce RTX 3060,
ASUS ROG Strix G15DK-R5800X2190 - 512GB M.2 PCIe | 24GB | Windows 11 Home,7490.0,"7 5800X (3.8GHz, 4.7GHz Turbo, 32MB Cache, 105W)",GeForce RTX 3070,AMD B550
Lenovo IdeaCentre Gaming 5-14ACN6 (90RW002WPB) - 512GB M.2 PCIe + 1TB HDD | Windows 11 Home,5390.0,"5 5600G (3.9GHz, 4.4GHz Turbo, 16MB Cache, 65W)",Geforce RTX 3060,
Lenovo IdeaCentre Gaming 5-14ACN6 (90RW002WPB) - 1TB M.2 PCIe | 32GB,5190.0,"5 5600G (3.9GHz, 4.4GHz Turbo, 16MB Cache, 65W)",Geforce RTX 3060,
ASUS ROG Strix G15DK-R5800X339W - 512GB M.2 PCIe | 24GB,6390.0,"7 5800X (3.8GHz, 4.7GHz Turbo, 32MB Cache, 105W)",Geforce RTX 3060,AMD B550
Komputronik Infinity HC512 [A04],9690.0,"i5-12600K (3.7 GHz, 4.9 GHz Turbo, 20MB Cache, 125W)",GeForce RTX 3060 Ti,Intel Z690  (ASUS Prime Z690-P Wifi D4)
Lenovo IdeaCentre Gaming 5-14ACN6 (90RW002WPB) - 1TB M.2 PCIe,4849.0,"5 5600G (3.9GHz, 4.4GHz Turbo, 16MB Cache, 65W)",Geforce RTX 3060,
ASUS ROG Strix G15DK-R5800X339W - 1TB M.2 PCIe | 24GB,6590.0,"7 5800X (3.8GHz, 4.7GHz Turbo, 32MB Cache, 105W)",Geforce RTX 3060,AMD B550
Komputronik Infinity R550 [M8],7690.0,"5 5600X (3.7GHz, 4.6GHz Turbo, 32MB Cache, 65W)",Geforce RTX 3060,AMD B550  (Gigabyte B550 AORUS ELITE V2)
Komputronik Ultimate R750 [D4],10990.0,"7 5800X (3.8GHz, 4.7GHz Turbo, 32MB Cache, 105W)",Radeon RX 6700 XT,AMD B550  (ASUS ROG STRIX B550-E GAMING)
Komputronik Ultimate X712 [C2],10490.0,"i7-12700F (2.1 GHz, 4.9 GHz Turbo, 25MB Cache, 65W)",GeForce RTX 3070 Ti,Intel B660  (ASUS PRIME B660M-A D4)
Komputronik Infinity R550 [M6],7390.0,"5 5600X (3.7GHz, 4.6GHz Turbo, 32MB Cache, 65W)",Geforce RTX 3060,AMD B550  (Gigabyte B550 AORUS ELITE V2)
Komputronik Powered by ASUS [ProArt-B4],17390.0,"i7-12700KF (3.6 GHz, 5.0 GHz Turbo, 25MB Cache 125W)",GeForce RTX 3080 Ti,Intel Z690  (ProArt Z690-CREATOR WiFi)
Komputronik Infinity X512 [K6],7790.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",GeForce RTX 3060 Ti,Intel B660  (ASUS PRIME B660M-A D4)
Komputronik Infinity X510 [P2],4790.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)",Geforce RTX 3050,Intel H470  (ASUS PRIME H410M-K R2.0)
